qid1,qid2,label,wid1,cid1,wid2,cid2
S105398,S116589,1,W108463 W102193 W106320 W103915 W104121,C100291 C101643 C100114 C100637 C102226 C100589 C101004 C101380 C101318,W108463 W108376 W101396 W103629 W100342 W100323 W101935 W104416 W106503,C100291 C101643 C100114 C100637 C101585 C101200 C101705 C101813 C100586 C101098 C102064 C100291 C101075 C101263 C101034 C102142 C101350 C102239
S134302,S105798,0,W108441 W108280 W104796 W100323 W102841,C100376 C101061 C101618 C102058 C101295 C100409 C100114 C100586 C100541 C100710 C101263 C102147 C101609,W100914 W105604 W103765 W100496 W104325 W104416 W102398 W100914 W100799 W103765 W101396 W104299 W106462,C100376 C101061 C101618 C102153 C101399 C101449 C101340 C101628 C100087 C101350 C101606 C100376 C101061 C101618 C101705 C100087 C101399 C101705 C100993 C100491 C101568
S105228,S128235,0,W109413 W108553 W100822 W100806 W102635 W108940 W101351,C101802 C102058 C100800 C102221 C100480 C101629 C101705 C100096 C101164 C101318 C100099 C100223 C100060 C101925 C100233,W109413 W101855,C101802 C102058 C100800 C102221 C101602 C100099
S121534,S101958,0,W107170 W106315 W100323 W108329 W108581 W103546 W104806 W106503,C100291 C101643 C100114 C101975 C100777 C101263 C101643 C100590 C102147 C100919 C101981 C101642 C101318 C100882 C100915 C102239,W107170 W106315 W100323 W105080 W104661 W109079 W103546 W104806 W106503,C100291 C101643 C100114 C101975 C100777 C101263 C101736 C102028 C100174 C101307 C100394 C101981 C101642 C101318 C100882 C100915 C102239
S105088,S101958,0,W107170 W106177 W100002 W105365,C100291 C101643 C100114 C100473 C102139 C100179 C102154 C100091 C101315,W107170 W106315 W100323 W105080 W104661 W109079 W103546 W104806 W106503,C100291 C101643 C100114 C101975 C100777 C101263 C101736 C102028 C100174 C101307 C100394 C101981 C101642 C101318 C100882 C100915 C102239
S115409,S101958,1,W107170 W106315 W100323 W105080 W100323 W104806 W109128,C100291 C101643 C100114 C101975 C100777 C101263 C101736 C102028 C100174 C101263 C100882 C100915 C100087 C100223,W107170 W106315 W100323 W105080 W104661 W109079 W103546 W104806 W106503,C100291 C101643 C100114 C101975 C100777 C101263 C101736 C102028 C100174 C101307 C100394 C101981 C101642 C101318 C100882 C100915 C102239
S103972,S117699,0,W101265 W100971 W101509 W102193 W106245 W107566 W108280 W106264 W104416,C101061 C100393 C100265 C100252 C101643 C100393 C100265 C102226 C100477 C100439 C101985 C100586 C100800 C102221 C101350,W100083 W109237 W106264 W100629 W102193 W103631 W104416,C101453 C100477 C100439 C101985 C100800 C102221 C101277 C102226 C101436 C101453 C101350
S103972,S111788,1,W101265 W100971 W101509 W102193 W106245 W107566 W108280 W106264 W104416,C101061 C100393 C100265 C100252 C101643 C100393 C100265 C102226 C100477 C100439 C101985 C100586 C100800 C102221 C101350,W101265 W103768 W106245 W102193 W106245 W106264 W105118 W107720 W102899 W104416,C101061 C100393 C100265 C100779 C101061 C100477 C100439 C102226 C100477 C100439 C100800 C102221 C100415 C102221 C100804 C100590 C100720 C100899 C100114 C101350
S113454,S110361,0,W108463 W108376 W109592 W102766,C100291 C101643 C100114 C100637 C101585 C101200 C100534 C101023 C101066,W108463 W108376 W101396 W106672 W104829 W104416,C100291 C101643 C100114 C100637 C101585 C101200 C101705 C101449 C101033 C102112 C101023 C100087 C101350
S113454,S109097,1,W108463 W108376 W109592 W102766,C100291 C101643 C100114 C100637 C101585 C101200 C100534 C101023 C101066,W107170 W108553 W100962 W109500,C100291 C101643 C100114 C100480 C101629 C102226 C100381 C101317 C100783
S118008,S116695,1,W100914 W100323 W102433 W102305 W105652 W108280 W101741 W105684 W100323 W100587 W104456 W106503,C100376 C101061 C101618 C101263 C100637 C101198 C102058 C101317 C101205 C100586 C100993 C100506 C101263 C101343 C101549 C100479 C102239,W100914 W105373 W109533 W105652 W108280 W100587 W104416,C100376 C101061 C101618 C101833 C100340 C102058 C101317 C101205 C100586 C101343 C101549 C101350
S118580,S106744,1,W100914 W102193 W106315 W101453 W102013,C100376 C101061 C101618 C102226 C101975 C100777 C102058 C100029 C102226 C102220 C100760,W103658 W107265 W105468 W100323 W106221,C100376 C101061 C101618 C100114 C101750 C102058 C100029 C102226 C100174 C100414 C101263 C100305 C102030
S131140,S106744,0,W100914 W105754 W107507 W103734 W108984 W107265 W103403 W100323 W106221,C100376 C101061 C101618 C102296 C100012 C102254 C102221 C100148 C101061 C100012 C101750 C101643 C101470 C101263 C100305 C102030,W103658 W107265 W105468 W100323 W106221,C100376 C101061 C101618 C100114 C101750 C102058 C100029 C102226 C100174 C100414 C101263 C100305 C102030
S118580,S129495,0,W100914 W102193 W106315 W101453 W102013,C100376 C101061 C101618 C102226 C101975 C100777 C102058 C100029 C102226 C102220 C100760,W100914 W102193 W106315 W108329 W104416,C100376 C101061 C101618 C102226 C101975 C100777 C101643 C100590 C102147 C101350
S131266,S105085,1,W108594 W100323 W107739 W101441 W103515 W104416 W106503,C102125 C101985 C101061 C101263 C100170 C100527 C100066 C101888 C100475 C101868 C101350 C102239,W108594 W108212 W101441 W103515 W105604 W100806 W103487 W104456 W104156,C102125 C101985 C101061 C101807 C100066 C101888 C100475 C101868 C102153 C101164 C101318 C100778 C100577 C100479 C101424
S134074,S105085,1,W108594 W108212 W101441 W103515 W104471 W108026 W104740,C102125 C101985 C101061 C101807 C100066 C101888 C100475 C101868 C101425 C100379 C101405 C100003 C101642 C101318 C100887,W108594 W108212 W101441 W103515 W105604 W100806 W103487 W104456 W104156,C102125 C101985 C101061 C101807 C100066 C101888 C100475 C101868 C102153 C101164 C101318 C100778 C100577 C100479 C101424
S131266,S132831,0,W108594 W100323 W107739 W101441 W103515 W104416 W106503,C102125 C101985 C101061 C101263 C100170 C100527 C100066 C101888 C100475 C101868 C101350 C102239,W108594 W108212 W102976 W101441 W103515 W105754 W104740,C102125 C101985 C101061 C101807 C100969 C102153 C100066 C101888 C100475 C101868 C102296 C101642 C101318 C100887
S124994,S129336,0,W103163 W105456 W108940 W105479 W103546 W101328 W108280 W100914 W106503,C101867 C101272 C101369 C100060 C101925 C100855 C101642 C101318 C101277 C101833 C100586 C100376 C101061 C101618 C102239,W103163 W106422 W105373 W108280 W100914 W104456,C101867 C101468 C101164 C101318 C101833 C100586 C100376 C101061 C101618 C100479
S101683,S125482,1,W109238 W100100 W100914 W106441 W100799 W108376 W104416,C101231 C101574 C100639 C100376 C101061 C101618 C101324 C101705 C100087 C101585 C101200 C101350,W100914 W106441 W100799 W108376 W104416,C100376 C101061 C101618 C101324 C101705 C100087 C101585 C101200 C101350
S132673,S125482,0,W100914 W101396 W104091 W102193 W101351 W104416 W108376 W104416,C100376 C101061 C101618 C101705 C101739 C101317 C101380 C102226 C100233 C101350 C101585 C101200 C101350,W100914 W106441 W100799 W108376 W104416,C100376 C101061 C101618 C101324 C101705 C100087 C101585 C101200 C101350
S110252,S124571,1,W109012 W103515 W100091 W101396 W100806 W102493 W105754 W108376 W101478 W107564 W108536 W104416 W107332,C100800 C102221 C100480 C101629 C100475 C101868 C100332 C101705 C101164 C101318 C100087 C102296 C101585 C101200 C101613 C102281 C100511 C100250 C101901 C102118 C100087 C101350 C101330 C101330,W105204 W100291 W106264 W104372 W103515 W105754 W105578 W102175 W108376 W101396 W106239 W104416,C101541 C100537 C100800 C102221 C101379 C100463 C101807 C100475 C101868 C102296 C100003 C100633 C100652 C100454 C101585 C101200 C101705 C100475 C101868 C100087 C101350
S128126,S124571,0,W106264 W107254 W108643 W100773 W104416 W106264 W107254 W107744,C100800 C102221 C101445 C100895 C100889 C100778 C100646 C102058 C101529 C100393 C101350 C100800 C102221 C101445 C100895 C100889 C100778 C100646,W105204 W100291 W106264 W104372 W103515 W105754 W105578 W102175 W108376 W101396 W106239 W104416,C101541 C100537 C100800 C102221 C101379 C100463 C101807 C100475 C101868 C102296 C100003 C100633 C100652 C100454 C101585 C101200 C101705 C100475 C101868 C100087 C101350
S125512,S117763,0,W105563 W105604 W103202 W106503 W101818 W101396 W100806 W102493,C100611 C102158 C102058 C102125 C101039 C100417 C102153 C101642 C101318 C100468 C100712 C102239 C100919 C101705 C101164 C101318 C100087,W107858 W105068 W106659 W105563 W105604 W103202,C101828 C100844 C101126 C100817 C101608 C101458 C100611 C102158 C102058 C102125 C101039 C100417 C102153 C101642 C101318 C100468 C100712
S101918,S118354,0,W101301 W109533 W105837 W100345 W100714 W100323 W100587,C100339 C101021 C100964 C100340 C102195 C100596 C100649 C101317 C101642 C100710 C101263 C101343 C101549,W107283 W103273 W104035 W101219 W106503,C100506 C101494 C101802 C102058 C101556 C101021 C102305 C102118 C101642 C101318 C100710 C102139 C100882 C102239
S127189,S118354,1,W103273 W106177 W104806,C101802 C102058 C101556 C101021 C102305 C102118 C100473 C102139 C100882 C100915,W107283 W103273 W104035 W101219 W106503,C100506 C101494 C101802 C102058 C101556 C101021 C102305 C102118 C101642 C101318 C100710 C102139 C100882 C102239
S118942,S122472,1,W108463 W100802 W107655 W102447 W103546 W104806 W104456 W106503,C100291 C101643 C100114 C100637 C100591 C100753 C100680 C100393 C100743 C100141 C101642 C101318 C100882 C100915 C100479 C102239,W107170 W105516 W105846 W104740 W100968 W105516 W105846,C100291 C101643 C100114 C100988 C100141 C100591 C100141 C101642 C101318 C100887 C101635 C100988 C100141 C100591 C100141
S127685,S131495,1,W107170 W103801 W101396 W100794 W101351 W104416,C100291 C101643 C100114 C100637 C101317 C101705 C100638 C101967 C100233 C101350,W107170 W102193 W101396 W101795 W104416,C100291 C101643 C100114 C102226 C101705 C100390 C102091 C101350
S109301,S131495,0,W108463 W102193 W106320 W101795 W100158 W103899 W104416,C100291 C101643 C100114 C100637 C102226 C100589 C100390 C102091 C102165 C102180 C101280 C101350,W107170 W102193 W101396 W101795 W104416,C100291 C101643 C100114 C102226 C101705 C100390 C102091 C101350
S128252,S116503,1,W105739 W105373 W106315 W104201 W100323 W102841 W104416,C101608 C101295 C100114 C101833 C101975 C100777 C100693 C100710 C101263 C102147 C101609 C101350,W100820 W107283 W103163 W105604 W105739 W104416,C100813 C100506 C101494 C101867 C102153 C101608 C101295 C100114 C101350
S128252,S122227,0,W105739 W105373 W106315 W104201 W100323 W102841 W104416,C101608 C101295 C100114 C101833 C101975 C100777 C100693 C100710 C101263 C102147 C101609 C101350,W105739 W105373 W106315 W109397 W104416,C101608 C101295 C100114 C101833 C101975 C100777 C101021 C102219 C101350
S128491,S122227,1,W105739 W107233 W109397 W103546 W104806,C101608 C101295 C100114 C101714 C100898 C101021 C102219 C101642 C101318 C100882 C100915,W105739 W105373 W106315 W109397 W104416,C101608 C101295 C100114 C101833 C101975 C100777 C101021 C102219 C101350
S129895,S128361,1,W107982 W106154 W105373 W102377 W102432 W104416,C100125 C100226 C100678 C101442 C101189 C101833 C100475 C101861 C100800 C102221 C100114 C100590 C101350,W105478 W109512 W104768 W106264 W104416,C100226 C100678 C101189 C101833 C101234 C101861 C100800 C102221 C101350
S109204,S123231,0,W102973 W100971 W100914 W108280 W106221 W104416,C101541 C102105 C101217 C100252 C100376 C101061 C101618 C100586 C100305 C102030 C101350,W106399 W100971 W100914 W108280 W106221 W104416,C101327 C101461 C100252 C100376 C101061 C101618 C100586 C100305 C102030 C101350
S109204,S118250,1,W102973 W100971 W100914 W108280 W106221 W104416,C101541 C102105 C101217 C100252 C100376 C101061 C101618 C100586 C100305 C102030 C101350,W104508 W102973 W105604 W100914 W104686 W106503 W103546 W104160,C101086 C102058 C101541 C102105 C101217 C102153 C100376 C101061 C101618 C101379 C101810 C102239 C101642 C101318 C100249 C100772
S127382,S117310,1,W108345 W107170 W105406 W101137 W103274 W105373 W104035,C102249 C100291 C101643 C100114 C101629 C101628 C101613 C100952 C102037 C101828 C101795 C101833 C101642 C101318 C100710,W101396 W100291 W103274 W103187 W105079 W101984 W101180 W102022 W101351,C101705 C100537 C100952 C102037 C101828 C101795 C101649 C102097 C101870 C102153 C101324 C102153 C102220 C102034 C101033 C101173 C100233
S105108,S130065,1,W100361 W102976 W103219 W101984 W101728 W107170,C101023 C101306 C100969 C102153 C101479 C101082 C102153 C101324 C102153 C101023 C101340 C100291 C101643 C100114,W103948 W108661 W103343,C101176 C101357 C100743 C100266 C101303 C101505 C101340 C100291 C101643 C100114
S130915,S106519,1,W109156 W105415 W105604 W107170 W104416,C100591 C100988 C101393 C100573 C100141 C101216 C102153 C100291 C101643 C100114 C101350,W108463 W106422 W103938,C100291 C101643 C100114 C100637 C101468 C101164 C101318 C100743 C101548
S108871,S106519,0,W108463 W106422 W100494 W107812,C100291 C101643 C100114 C100637 C101468 C101164 C101318 C100025 C100078 C100743 C100189,W108463 W106422 W103938,C100291 C101643 C100114 C100637 C101468 C101164 C101318 C100743 C101548
S114141,S103822,1,W108594 W107230 W106691 W104740,C102125 C101985 C101061 C101804 C100175 C100779 C100032 C101642 C101318 C100887,W108594 W102193 W106315 W104927 W104416,C102125 C101985 C101061 C102226 C101975 C100777 C100300 C101741 C101350
S114141,S117461,0,W108594 W107230 W106691 W104740,C102125 C101985 C101061 C101804 C100175 C100779 C100032 C101642 C101318 C100887,W107879 W108594 W105754 W104783 W101066 W105754 W105373 W100587 W101707 W100806 W105754 W102193 W108828 W101707 W100806 W100948,C101423 C102125 C101985 C101061 C102296 C100454 C100845 C101893 C101467 C102296 C101833 C101343 C101549 C100165 C101164 C101318 C102296 C102226 C102253 C101192 C100165 C101164 C101318 C101788 C102106
S100838,S117461,1,W108594 W103240 W101066 W102193 W109020 W101707 W100806 W100948,C102125 C101985 C101061 C101231 C101893 C101467 C102226 C100609 C101192 C100165 C101164 C101318 C101788 C102106,W107879 W108594 W105754 W104783 W101066 W105754 W105373 W100587 W101707 W100806 W105754 W102193 W108828 W101707 W100806 W100948,C101423 C102125 C101985 C101061 C102296 C100454 C100845 C101893 C101467 C102296 C101833 C101343 C101549 C100165 C101164 C101318 C102296 C102226 C102253 C101192 C100165 C101164 C101318 C101788 C102106
S122384,S126314,1,W107170 W108376 W101396 W103046 W101209 W104416,C100291 C101643 C100114 C101585 C101200 C101705 C101269 C100633 C101092 C100670 C101350,W102817 W107170 W108553 W102193 W101396 W103524 W101059 W104416 W106503,C102244 C100269 C100291 C101643 C100114 C100480 C101629 C102226 C101705 C100785 C100463 C101350 C102239
S122384,S113241,0,W107170 W108376 W101396 W103046 W101209 W104416,C100291 C101643 C100114 C101585 C101200 C101705 C101269 C100633 C101092 C100670 C101350,W108463 W108376 W101396 W106527 W104416,C100291 C101643 C100114 C100637 C101585 C101200 C101705 C101269 C100101 C101350
S115976,S127328,0,W107170 W105754 W103113 W103953 W107498 W100124 W104416,C100291 C101643 C100114 C102296 C101295 C100797 C100262 C101656 C100056 C100313 C101556 C101154 C101350,W108463 W107498 W100455 W108280 W104017 W104416,C100291 C101643 C100114 C100637 C100313 C101736 C102028 C100174 C100591 C101477 C100586 C102052 C100682 C101350
S121314,S112866,0,W106776 W103948 W103004 W100914,C101595 C100898 C101176 C101357 C101379 C101351 C100376 C101061 C101618,W108117 W105314 W106718 W103004 W100914 W102219 W104416 W106503,C101628 C100192 C101420 C100315 C100721 C101585 C101379 C101351 C100376 C101061 C101618 C100691 C100743 C102147 C101350 C102239
S113118,S108303,1,W103163 W109077 W100091 W101341 W105754 W107260,C101867 C101806 C100332 C100800 C102221 C100170 C102242 C100646 C102296 C101642,W101341 W102323 W107278 W104806 W105754 W108376 W107044 W104416 W108280 W100806 W100719,C100800 C102221 C100170 C102242 C100646 C101176 C101173 C100100 C101829 C100882 C100915 C102296 C101585 C101200 C102216 C101834 C101350 C100586 C101164 C101318 C100882 C100915 C101917 C100885
S132178,S105845,1,W107170 W102193 W105691 W106320 W105295,C100291 C101643 C100114 C102226 C101324 C102226 C100589 C101470 C100306,W105758 W103791 W100548 W100323 W102433 W105754 W102193 W106320 W105295 W104121 W106503,C100586 C100096 C101836 C101968 C101061 C100291 C100376 C101263 C100637 C102296 C102226 C100589 C101470 C100306 C101318 C102239
S125949,S122242,1,W106264 W106422 W105373 W104864 W102016,C100800 C102221 C101468 C101164 C101318 C101833 C101000 C101192 C100114 C100743,W106264 W106824 W104523 W105604 W100806 W103487 W103948 W104806,C100800 C102221 C100271 C102153 C101192 C100743 C102153 C101164 C101318 C100778 C100577 C101176 C101357 C100882 C100915
S115624,S122004,1,W106264 W109347 W108598 W108376 W105204 W109559 W102260 W104416,C100800 C102221 C101818 C100586 C100889 C100394 C101585 C101200 C101541 C102037 C102221 C100379 C100463 C101350,W105204 W102305 W106264 W109242 W104093 W107346 W105204 W109559 W109242 W104416,C101541 C101198 C100800 C102221 C101379 C101351 C101843 C101277 C101613 C102243 C101541 C102037 C102221 C101379 C101351 C101843 C101350
S117494,S110991,1,W107312 W107764 W104515 W103285 W100971 W104989 W104515 W104909 W104299 W107332,C101841 C101317 C100865 C100263 C102174 C101843 C100800 C102221 C101425 C100379 C100118 C100812 C101736 C100252 C100263 C100952 C101843 C100640 C102266 C100993 C100491 C101330 C101330,W107312 W108356 W104925 W105204 W100091 W106264 W105754 W104989 W104515 W100806 W107363 W105204,C101841 C101317 C100865 C101985 C101317 C100599 C101541 C100332 C100800 C102221 C102296 C100263 C100952 C101843 C101164 C101318 C100599 C101440 C101541
S118396,S110991,0,W107312 W108356 W105204 W100091 W103336 W105754 W103546 W101328 W107982 W102377,C101841 C101317 C100865 C101985 C101317 C101541 C100332 C100800 C102221 C100379 C100463 C102296 C101642 C101318 C101277 C101833 C100125 C100475 C101861,W107312 W108356 W104925 W105204 W100091 W106264 W105754 W104989 W104515 W100806 W107363 W105204,C101841 C101317 C100865 C101985 C101317 C100599 C101541 C100332 C100800 C102221 C102296 C100263 C100952 C101843 C101164 C101318 C100599 C101440 C101541
S117494,S103848,0,W107312 W107764 W104515 W103285 W100971 W104989 W104515 W104909 W104299 W107332,C101841 C101317 C100865 C100263 C102174 C101843 C100800 C102221 C101425 C100379 C100118 C100812 C101736 C100252 C100263 C100952 C101843 C100640 C102266 C100993 C100491 C101330 C101330,W108719 W100361 W100806 W107363 W105204 W103285,C100800 C102221 C100506 C102242 C100646 C101023 C101306 C101164 C101318 C100599 C101440 C101541 C100800 C102221 C101425 C100379 C100118 C100812 C101736
S105046,S103848,1,W109298 W109592 W106161 W106615 W101726 W109123 W108859 W105204 W103336,C100506 C102242 C100646 C100534 C101023 C101970 C101020 C100006 C100919 C100167 C101357 C100599 C101541 C100800 C102221 C100379 C100463,W108719 W100361 W100806 W107363 W105204 W103285,C100800 C102221 C100506 C102242 C100646 C101023 C101306 C101164 C101318 C100599 C101440 C101541 C100800 C102221 C101425 C100379 C100118 C100812 C101736
S129087,S103848,0,W108719 W100361 W105204 W100291 W103754 W102193 W104965 W104416,C100800 C102221 C100506 C102242 C100646 C101023 C101306 C101541 C100537 C101425 C100379 C100118 C100812 C101736 C102226 C100503 C100306 C101350,W108719 W100361 W100806 W107363 W105204 W103285,C100800 C102221 C100506 C102242 C100646 C101023 C101306 C101164 C101318 C100599 C101440 C101541 C100800 C102221 C101425 C100379 C100118 C100812 C101736
S128819,S121312,0,W109457 W106264 W103546 W104806,C100081 C100865 C100800 C102221 C101642 C101318 C100882 C100915,W109413 W103948 W100002,C101802 C102058 C100800 C102221 C101176 C101357 C100179 C102154
S108526,S121312,1,W109077 W100091 W109413 W109194 W107498 W109120 W106245,C101806 C100332 C101802 C102058 C100800 C102221 C100766 C101399 C100313 C100541 C100096 C100477 C100439,W109413 W103948 W100002,C101802 C102058 C100800 C102221 C101176 C101357 C100179 C102154
S105923,S118954,0,W107170 W100323 W102072 W103765 W107498 W109120 W106245 W106503,C100291 C101643 C100114 C101263 C100260 C101794 C101399 C100313 C100541 C100096 C100477 C100439 C102239,W107170 W108553 W101675 W105547 W106245,C100291 C101643 C100114 C100480 C101629 C101399 C102044 C100541 C100096 C101699 C101839 C100477 C100439
S125343,S118954,1,W101894 W100962 W109237 W107913 W108280 W107170 W106503,C100394 C100477 C102226 C100381 C100439 C101985 C102153 C100381 C100586 C100291 C101643 C100114 C102239,W107170 W108553 W101675 W105547 W106245,C100291 C101643 C100114 C100480 C101629 C101399 C102044 C100541 C100096 C101699 C101839 C100477 C100439
S105923,S129186,0,W107170 W100323 W102072 W103765 W107498 W109120 W106245 W106503,C100291 C101643 C100114 C101263 C100260 C101794 C101399 C100313 C100541 C100096 C100477 C100439 C102239,W100914 W104576 W101396 W100806 W102027,C100376 C101061 C101618 C100252 C100291 C101643 C100114 C101705 C101164 C101318 C100050 C101061
S131967,S119458,1,W100914 W100323 W107660 W108376 W107498 W100455 W104416,C100376 C101061 C101618 C101263 C100114 C100637 C101585 C101200 C100313 C101736 C102028 C100174 C100591 C101477 C101350,W100914 W108463 W108376 W107498 W100455 W104416,C100376 C101061 C101618 C100291 C101643 C100114 C100637 C101585 C101200 C100313 C101736 C102028 C100174 C100591 C101477 C101350
S131386,S106270,0,W108280 W100914 W102193 W101396 W101454 W104416,C100586 C100376 C101061 C101618 C102226 C101705 C101714 C100048 C101595 C101892 C101350,W102817 W107314 W103658 W100323 W101856 W109194 W107498 W109120 W106245 W104456,C102244 C100269 C102174 C100890 C100376 C101061 C101618 C100114 C101263 C100260 C102192 C100766 C101399 C100313 C100541 C100096 C100477 C100439 C100479
S128137,S106270,1,W100914 W106245 W109120 W104815 W101880,C100376 C101061 C101618 C100477 C100439 C100541 C100096 C100820 C100753 C100091,W102817 W107314 W103658 W100323 W101856 W109194 W107498 W109120 W106245 W104456,C102244 C100269 C102174 C100890 C100376 C101061 C101618 C100114 C101263 C100260 C102192 C100766 C101399 C100313 C100541 C100096 C100477 C100439 C100479
S131386,S132896,1,W108280 W100914 W102193 W101396 W101454 W104416,C100586 C100376 C101061 C101618 C102226 C101705 C101714 C100048 C101595 C101892 C101350,W103163 W101069 W103088 W100323 W105604 W108280 W107298 W100971 W100914 W102193 W105691 W101396 W101454,C101867 C100900 C100269 C101263 C102153 C100586 C101295 C100409 C100114 C100252 C100376 C101061 C101618 C102226 C101324 C102226 C101705 C101714 C100048 C101595 C101892
S124918,S129464,1,W102817 W107170 W101396 W100806 W107787 W101351 W104156,C102244 C100269 C100291 C101643 C100114 C101705 C101164 C101318 C102208 C101173 C100233 C101424,W108720 W100838 W101396 W100081 W104416,C100952 C100337 C100291 C101643 C100114 C100637 C102226 C101705 C101210 C100181 C101350
S113488,S133466,1,W103336 W109194 W105204 W100899,C100800 C102221 C100379 C100463 C100766 C101399 C101541 C100747 C100540,W105763 W100664 W103336 W109076 W104299,C101837 C100817 C102174 C100540 C100800 C102221 C100379 C100463 C102305 C100993 C100491
S113488,S113166,1,W103336 W109194 W105204 W100899,C100800 C102221 C100379 C100463 C100766 C101399 C101541 C100747 C100540,W108376 W105204 W103336 W108204,C101585 C101200 C101541 C100800 C102221 C100379 C100463 C101188
S130345,S113166,1,W108514 W103537 W109498 W103336,C100175 C100637 C100541 C101654 C101101 C101661 C100800 C102221 C100379 C100463,W108376 W105204 W103336 W108204,C101585 C101200 C101541 C100800 C102221 C100379 C100463 C101188
S123646,S125882,0,W103343 W106315 W100323 W103487,C101303 C101505 C101340 C100291 C101643 C100114 C101975 C100777 C101263 C100778 C100577,W107170 W109026 W103948 W100836 W109374,C100291 C101643 C100114 C100114 C101176 C101357 C102261 C100221 C102221 C100409
S123646,S108524,1,W103343 W106315 W100323 W103487,C101303 C101505 C101340 C100291 C101643 C100114 C101975 C100777 C101263 C100778 C100577,W101851 W105604 W100806 W103487 W106315 W100323,C101303 C101505 C100291 C101643 C100114 C102153 C101164 C101318 C100778 C100577 C101975 C100777 C101263
S111452,S108524,0,W107170 W101725 W100323 W103487 W106315 W100323,C100291 C101643 C100114 C101061 C100376 C101263 C100778 C100577 C101975 C100777 C101263,W101851 W105604 W100806 W103487 W106315 W100323,C101303 C101505 C100291 C101643 C100114 C102153 C101164 C101318 C100778 C100577 C101975 C100777 C101263
S117229,S123146,1,W108561 W107047 W103537 W105763 W103336,C101242 C100994 C100276 C100541 C101654 C101837 C100817 C100800 C102221 C100379 C100463,W102836 W107047 W103537 W107500,C100800 C102221 C100995 C102116 C101629 C100276 C100541 C101654 C101541 C101843
S121536,S111429,1,W100576 W100962 W106149 W100069,C100800 C102221 C100114 C100590 C100995 C102116 C101629 C102226 C100381 C100887 C100041 C100609 C101889,W107266 W103163 W103187 W106899 W107498 W100977 W105754 W108280 W106264 W108376 W106149 W100069 W104416,C102193 C101867 C101649 C101457 C101580 C100313 C102057 C102261 C102296 C100586 C100800 C102221 C101585 C101200 C100887 C100041 C100609 C101889 C101350
S122073,S109075,0,W100714 W107646 W106264 W106238,C101642 C100710 C101394 C101031 C100800 C102221 C100889 C100114 C100590 C100882 C100915,W108859 W107646 W106264 W106238 W101964 W109391,C101357 C100599 C101394 C101031 C100800 C102221 C100889 C100114 C100590 C100882 C100915 C101615 C100586 C101033
S131162,S109075,1,W103948 W107646 W106264 W106238,C101176 C101357 C101394 C101031 C100800 C102221 C100889 C100114 C100590 C100882 C100915,W108859 W107646 W106264 W106238 W101964 W109391,C101357 C100599 C101394 C101031 C100800 C102221 C100889 C100114 C100590 C100882 C100915 C101615 C100586 C101033
S107063,S127422,0,W104182 W105739 W107419 W105604 W100806,C101351 C100882 C101608 C101295 C100114 C100092 C101917 C102153 C101164 C101318,W105739 W105604 W100806 W107835,C101608 C101295 C100114 C102153 C101164 C101318 C102210 C101353
S107063,S103791,1,W104182 W105739 W107419 W105604 W100806,C101351 C100882 C101608 C101295 C100114 C100092 C101917 C102153 C101164 C101318,W105739 W108280 W100806 W107419 W108376 W107395 W101351,C101608 C101295 C100114 C100586 C101164 C101318 C100092 C101917 C101585 C101200 C100882 C100233
S119475,S111873,1,W108594 W102627 W106441 W106412 W103546 W100533,C102125 C101985 C101061 C101061 C101618 C101324 C101335 C101794 C101642 C101318 C101865 C101618,W106841 W108212 W102627 W101160 W109189 W105754 W100521 W107986 W104740 W106503,C100473 C102052 C101807 C101061 C101618 C102174 C101558 C100376 C102296 C101865 C101324 C100890 C101642 C101318 C100887 C102239
S126799,S107915,0,W107170 W105373 W103966 W104416,C100291 C101643 C100114 C101833 C101479 C100611 C100790 C100369 C101350,W108463 W105373 W103219 W104416,C100291 C101643 C100114 C100637 C101833 C101479 C101082 C101350
S128870,S101762,0,W106264 W105373 W102468 W100806 W109640 W100829 W100971 W109012 W101956 W106188 W103765 W103546 W103004,C100800 C102221 C101833 C101016 C101198 C101164 C101318 C100413 C100245 C101234 C100296 C100252 C100800 C102221 C100480 C101629 C102174 C100777 C100487 C101399 C101642 C101318 C101379 C101351,W106264 W102468 W100806 W109640 W100829,C100800 C102221 C101016 C101198 C101164 C101318 C100413 C100245 C101234 C100296
S101319,S124760,0,W105801 W101644 W103059 W100323 W104806 W105754 W105558 W101824 W101824 W103187 W108916 W102608,C102191 C100749 C100955 C101340 C100339 C101295 C100114 C101263 C100882 C100915 C102296 C101579 C101450 C101450 C101649 C101561 C100475 C101330,W101301 W102193 W104454 W106503 W106889 W100910 W105754 W109468 W108027,C100339 C101021 C100964 C102226 C101205 C100993 C100491 C102239 C100266 C101649 C101147 C100204 C101207 C101405 C102296 C100644 C102285 C101324 C100777
S101319,S105589,0,W105801 W101644 W103059 W100323 W104806 W105754 W105558 W101824 W101824 W103187 W108916 W102608,C102191 C100749 C100955 C101340 C100339 C101295 C100114 C101263 C100882 C100915 C102296 C101579 C101450 C101450 C101649 C101561 C100475 C101330,W103059 W100323 W104806 W108280 W101966 W102493,C100339 C101295 C100114 C101263 C100882 C100915 C100586 C102193 C100096 C100087
